,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
H,-1.0,-1.0,0.7396608432367434,-1.0,-1.0,-1.0,0.4921764598515634,-1.0,0.3724924663847228,-1.0,0.7830196908393007,0.5451211175,-1.0,-1.0,0.68520362915307,0.32233042008064666,0.43227009410946804,-1.0,1.0350574179393992,0.7679869749999999,-1.0,-1.0,-1.0,0.37811790562500003,0.37238514652754956,0.5641339535890808,0.4522719075,-1.0,0.816485806796075,0.47119819057603596,0.5155636046839335,-1.0,-1.0,0.7331006090093077,-1.0,-1.0,0.9363896344962455,0.517616530138889,0.50732825675,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.992790826952339,0.54409803375,0.5553803675867622,-1.0,-1.0,-1.0,0.49123812280186196,-1.0,1.5428113326982322,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.62894891828125,-1.0,-1.0,0.6804938808333333,-1.0,0.5021324379166666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.142003511913298,0.6492877175,1.2636450770757408,0.535885859375,-1.0
He,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Li,0.7396608432367434,-1.0,-1.0,0.8077281793575382,0.5550319502455733,0.653160239,0.7092136805,-1.0,-1.0,-1.0,0.44195958288986525,0.22507364813633202,-1.0,0.3036104249567466,0.44102435224407144,0.6596566438567153,0.284466836,-1.0,0.8447059783687894,-1.0,0.4042333738636351,0.4892340934231593,0.43587616374261107,0.6057303006979106,0.45176874605682643,0.4128771704278832,0.7412087986462648,0.4787970501839072,0.5902773424469967,0.14803066500000003,0.4599210593888268,-1.0,-1.0,-1.0,1.7257723160756098,-1.0,0.9834409758652295,0.5667061795404065,0.5200245974396541,-1.0,0.5966288154874682,0.5824201941702118,-1.0,0.09992629950211111,0.5545094078571429,-1.0,0.6850438934721841,0.5362943097269861,0.4524214299568317,-1.0,0.2977405087336531,-1.0,0.6746415182103223,-1.0,1.2375417145646208,-1.0,0.6319024798333334,0.6159339175,0.5769681760953195,0.534293818487189,-1.0,0.5536446916666667,-1.0,0.6056083622916666,0.5711374902083333,0.6035170734939987,0.5280275504310209,0.541533844714841,0.3576408432500281,0.5075471577455357,0.20148699954101645,-1.0,0.262602101306011,0.4749430948003503,0.3020581554444444,0.2567382578333333,0.374995234,-1.0,1.0727933692720661,-1.0,0.8171526183137238,-1.0,0.70511985625
Be,-1.0,-1.0,0.8077281793575382,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8746420796500152,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
B,-1.0,-1.0,0.5550319502455733,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6448644782635032,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8290654302333668,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8439458216683012,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7920146624746703,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C,-1.0,-1.0,0.653160239,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8006242320131143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8287654035107737,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8233079077865658,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
N,0.4921764598515634,-1.0,0.7092136805,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8143284680322579,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7967122775599662,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7402561663984224,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8204768431734895,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9140806220336644,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8072061933443115,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
O,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
F,0.3724924663847228,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8081493069999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ne,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
