n,A,B,X,Aox,Box,Cox,Ra,Rb,Rc,exp,EAH
0.0,Ag,P,S,1.0,5.0,-2.0,1.29,0.52,1.7,True,0.0
0.0,Ba,Bi,O,0.0,0.0,0.0,2.15,1.6,0.6,True,0.0
0.0,Ba,Ir,O,2.0,4.0,-2.0,1.49,0.765,1.2600000000000005,True,0.0
1.0,Ba,Ir,O,2.0,4.0,-2.0,1.49,0.765,1.26,True,0.01947380196429993
3.0,Ba,Ir,O,2.0,4.0,-2.0,1.49,0.765,1.2600000000000005,True,0.00021139852942564374
0.0,Ba,Pb,O,2.0,4.0,-2.0,1.49,0.915,1.26,True,0.0
1.0,Ba,Pb,O,2.0,4.0,-2.0,1.49,0.915,1.26,True,0.0
0.0,Cd,P,S,2.0,4.0,-2.0,1.09,0.6,1.7,True,0.0
0.0,Co,P,S,2.0,4.0,-2.0,0.885,0.6,1.7,True,0.0
0.0,Cr,P,Se,3.0,3.0,-2.0,1.0999999999999999,0.58,1.84,True,0.0
0.0,Cs,Cr,Cl,1.0,2.0,-1.0,1.81,0.94,1.67,True,0.0
1.0,Cs,Cr,Cl,1.0,2.0,-1.0,1.81,0.94,1.67,True,0.0
0.0,Bi,Fe,O,3.0,3.0,-2.0,1.17,0.785,1.2600000000000005,True,0.0
0.0,Fe,P,S,2.0,4.0,-2.0,0.92,0.6,1.6999999999999995,True,0.0
0.0,Fe,P,S,3.0,-1.0,-2.0,0.785,1.1,1.7,True,0.0
0.0,Pd,Ge,S,2.0,4.0,-2.0,1.0,0.67,1.7,True,0.0
0.0,K,Cr,F,1.0,2.0,-1.0,1.52,0.94,1.1899999999999997,True,0.0
0.0,Mg,P,S,2.0,4.0,-2.0,0.86,0.6,1.7,True,0.0
0.0,Mn,P,S,2.0,4.0,-2.0,0.97,0.6,1.7,True,0.0
0.0,Nb,Cu,O,5.0,1.0,-2.0,0.78,0.91,1.26,True,0.0
0.0,Ni,P,S,2.0,4.0,-2.0,1.1500000000000001,0.6,1.7,True,0.0
0.0,Ni,P,Se,2.0,4.0,-2.0,1.1500000000000001,0.6,1.84,True,0.0
0.0,Rb,Au,Br,0.0,0.0,0.0,2.35,1.35,1.15,True,0.0
0.0,Rb,Au,I,0.0,0.0,0.0,2.35,1.35,1.4,True,0.0
0.0,Rb,Cr,Cl,1.0,2.0,-1.0,1.66,0.94,1.67,True,0.0
1.0,Rb,Cr,Cl,1.0,2.0,-1.0,1.66,0.94,1.67,True,0.4203224314285716
0.0,Rb,Ta,O,1.0,5.0,-2.0,1.66,0.78,1.26,True,0.0
0.0,Sn,P,S,2.0,4.0,-2.0,1.25,0.6,1.7,True,0.0
0.0,V,P,S,2.0,4.0,-2.0,0.93,0.6,1.7,True,0.0
0.0,Zn,P,S,2.0,4.0,-2.0,0.88,0.6,1.7,True,0.0
0.0,Ba,C,O,2.0,4.0,-2.0,1.49,0.3,1.26,True,0.0
0.0,Ba,Co,O,2.0,4.0,-2.0,1.49,0.67,1.26,True,0.0
1.0,Ba,Co,O,2.0,4.0,-2.0,1.49,0.67,1.2600000000000002,True,0.0
0.0,K,Bi,O,1.0,5.0,-2.0,1.5199999999999998,0.9,1.2600000000000005,True,0.0
0.0,La,Mn,O,3.0,3.0,-2.0,1.172,0.785,1.26,True,0.0
0.0,Li,Fe,F,1.0,2.0,-1.0,0.9,0.92,1.1899999999999997,True,0.0
1.0,Li,Fe,F,1.0,2.0,-1.0,0.9,0.92,1.19,False,0.2104927264285701
2.0,Li,Fe,F,1.0,2.0,-1.0,0.9000000000000002,0.92,1.1900000000000002,False,0.06017686583333237
0.0,Li,Fe,O,0.0,0.0,0.0,1.45,1.4,0.6,True,0.0
0.0,Li,Mn,F,1.0,2.0,-1.0,0.9,0.97,1.1899999999999997,True,0.0
1.0,Li,Mn,F,1.0,2.0,-1.0,0.9,0.97,1.19,False,0.07182342142857046
3.0,Li,Mn,F,1.0,2.0,-1.0,0.9000000000000002,0.9700000000000001,1.1899999999999995,False,0.040738375882352074
2.0,Li,Mn,F,1.0,2.0,-1.0,0.9000000000000002,0.9699999999999999,1.1900000000000002,False,0.056262520625000256
0.0,Nb,Li,O,5.0,1.0,-2.0,0.78,0.9,1.26,True,0.0
0.0,Sb,Li,O,5.0,1.0,-2.0,0.76,0.9,1.26,True,0.0
0.0,Li,V,O,1.0,5.0,-2.0,0.9,0.68,1.26,True,0.0
0.0,In,Mg,S,3.0,2.0,-1.6666666666666667,0.94,0.86,1.5,True,0.0
0.0,Mn,Co,O,4.0,2.0,-2.0,0.67,0.885,1.26,True,0.0
0.0,Nd,Zr,O,3.0,3.0,-2.0,1.123,1.25,1.26,True,0.0
0.0,Rb,Cr,I,1.0,2.0,-1.0,1.66,0.94,2.06,True,0.0
0.0,Rb,Nb,O,1.0,5.0,-2.0,1.66,0.78,1.26,True,0.0
0.0,Si,C,Cl,4.0,-1.0,-1.0,0.54,0.7999999999999999,1.6700000000000006,True,0.0
0.0,Sr,C,O,2.0,4.0,-2.0,1.32,0.3,1.26,True,0.0
0.0,Sr,Mo,O,2.0,4.0,-2.0,1.32,0.79,1.26,True,0.0
1.0,Sr,Mo,O,2.0,4.0,-2.0,1.32,0.79,1.26,True,0.017990347857142375
