n,A,B,X,Aox,Box,Cox,RaIX,RaXII,Rb,Rc,exp,EAH
0.0,Ba,Bi,O,0.0,0.0,0.0,2.15,2.15,1.6,0.6,False,1.7434000000093874e-05
0.0,Ba,Ir,O,2.0,4.0,-2.0,1.47,1.61,0.625,1.2600000000000005,False,0.0162561192916674
1.0,Ba,Ir,O,2.0,4.0,-2.0,1.47,1.61,0.625,1.26,False,0.0194738019642999
0.0,Ba,Pb,O,2.0,4.0,-2.0,1.47,1.61,0.775,1.26,False,5.183500000072172e-05
1.0,Ba,Pb,O,2.0,4.0,-2.0,1.47,1.61,0.775,1.26,False,0.0
1.0,Cs,Cr,Cl,1.0,2.0,-1.0,1.78,1.88,1.2,1.67,False,0.0
0.0,Bi,Fe,O,3.0,3.0,-2.0,1.3,1.3,1.0999999999999999,1.2600000000000005,False,0.0564112610000018
0.0,K,Cr,F,1.0,2.0,-1.0,1.55,1.64,1.2,1.1899999999999997,False,0.0
0.0,Rb,Au,Br,0.0,0.0,0.0,2.35,2.35,1.35,1.15,False,0.0
0.0,Rb,Au,I,0.0,0.0,0.0,2.35,2.35,1.35,1.4,False,0.0
0.0,Rb,Cr,Cl,1.0,2.0,-1.0,1.63,1.72,1.2,1.67,False,0.0282901049999972
0.0,Ba,Co,O,2.0,4.0,-2.0,1.47,1.61,0.53,1.26,True,0.001055195000001
0.0,La,Mn,O,3.0,3.0,-2.0,1.216,1.36,1.0999999999999999,1.26,True,0.1758665029523811
0.0,Nd,Zr,O,3.0,3.0,-2.0,1.163,1.27,1.25,1.26,True,0.1999595629749961
0.0,Sr,Mo,O,2.0,4.0,-2.0,1.31,1.44,0.65,1.26,True,0.0
1.0,Sr,Mo,O,2.0,4.0,-2.0,1.31,1.44,0.65,1.26,False,0.0179903478571423
2.0,Sr,Mo,O,2.0,4.0,-2.0,1.31,1.4400000000000002,0.65,1.26,True,0.0402573291666703
0.0,Ca,Ti,O,2.0,4.0,-2.0,1.18,1.34,0.605,1.26,False,0.0114495924999999
1.0,Ca,Ti,O,2.0,4.0,-2.0,1.18,1.34,0.605,1.26,True,0.0360952453571474
3.0,Ca,Ti,O,2.0,4.0,-2.0,1.18,1.34,0.6050000000000001,1.2599999999999998,False,0.0014509445588277
1.0,Mg,Si,O,2.0,4.0,-2.0,1.3,1.3,0.4,1.26,False,0.3797104628571421
0.0,Na,Nb,O,1.0,5.0,-2.0,1.24,1.39,0.64,1.26,False,0.0267007389999989
0.0,Na,Ta,O,1.0,5.0,-2.0,1.24,1.39,0.64,1.26,False,0.0033295580000007
0.0,Ag,Nb,O,1.0,5.0,-2.0,1.5,1.5,0.64,1.26,False,0.0508057222857152
0.0,Sr,Hf,O,2.0,4.0,-2.0,1.31,1.44,0.71,1.26,False,0.003748271999985
1.0,Sr,Hf,O,2.0,4.0,-2.0,1.31,1.44,0.71,1.26,True,0.0186227099999989
2.0,Sr,Hf,O,2.0,4.0,-2.0,1.31,1.4400000000000002,0.71,1.26,True,0.0211973749999998
3.0,Sr,Hf,O,2.0,4.0,-2.0,1.3100000000000003,1.4399999999999997,0.71,1.2600000000000005,True,0.0072505758823595
0.0,Sr,Zr,O,2.0,4.0,-2.0,1.31,1.44,0.72,1.26,False,0.0071837564999999
1.0,Sr,Zr,O,2.0,4.0,-2.0,1.31,1.44,0.72,1.26,True,0.0345746839285681
2.0,Sr,Zr,O,2.0,4.0,-2.0,1.31,1.4400000000000002,0.72,1.26,True,0.0388202679166642
3.0,Sr,Zr,O,2.0,4.0,-2.0,1.31,1.4400000000000002,0.7199999999999999,1.2599999999999998,True,0.0027217319117589
2.0,Ca,Sn,S,2.0,4.0,-2.0,1.18,1.34,0.69,1.6999999999999997,True,0.3593293207291719
3.0,Ca,Sn,S,2.0,4.0,-2.0,1.18,1.34,0.69,1.6999999999999997,True,0.3952571061764702
4.0,Ca,Sn,S,2.0,4.0,-2.0,1.18,1.34,0.69,1.6999999999999995,True,0.4153439846022753
5.0,Ca,Sn,S,2.0,4.0,-2.0,1.18,1.34,0.69,1.6999999999999995,True,0.4333065202777773
0.0,Sr,Cr,O,2.0,4.0,-2.0,1.3100000000000003,1.44,0.5499999999999999,1.2599999999999998,True,0.1985805120803601
1.0,Sr,Cr,O,2.0,4.0,-2.0,1.31,1.44,0.55,1.26,False,0.0339364087499989
3.0,Sr,Cr,O,2.0,4.0,-2.0,1.31,1.44,0.55,1.26,True,0.0629500965073583
0.0,Sr,Ir,O,2.0,4.0,-2.0,1.3100000000000003,1.4399999999999997,0.625,1.2600000000000005,True,0.0193014599999949
1.0,Sr,Ir,O,2.0,4.0,-2.0,1.31,1.44,0.625,1.26,False,0.0339919464285713
3.0,Sr,Ir,O,2.0,4.0,-2.0,1.31,1.44,0.625,1.26,True,0.0857216002941152
1.0,Sr,Ru,O,2.0,4.0,-2.0,1.31,1.44,0.62,1.26,False,0.0
2.0,Sr,Ru,O,2.0,4.0,-2.0,1.31,1.4400000000000002,0.62,1.26,False,0.0052328616666645
3.0,Sr,Ru,O,2.0,4.0,-2.0,1.3100000000000003,1.4399999999999997,0.62,1.2600000000000005,False,0.0
0.0,La,Ni,O,3.0,3.0,-2.0,1.216,1.36,1.05,1.26,True,0.0435702440000005
1.0,La,Ni,O,3.0,2.0,-2.0,1.216,1.36,0.69,1.26,False,0.0773130453571404
3.0,La,Ni,O,3.0,2.6666666666666665,-2.0,1.216,1.36,0.93,1.26,False,0.0352877239705859
0.0,Rb,Ag,F,1.0,2.0,-1.0,1.63,1.72,0.94,1.19,True,0.114391061
0.0,Sr,Ni,O,2.0,4.0,-2.0,1.31,1.44,0.48,1.26,True,0.0588251934999934
1.0,Sr,Cu,O,2.0,2.0,-1.5,1.31,1.44,0.73,0.98,True,0.0161054814285712
0.0,Ba,Ce,O,2.0,4.0,-2.0,1.47,1.61,0.87,1.26,False,0.0006426110000017
0.0,Ba,Pr,O,0.0,0.0,0.0,2.15,2.15,1.85,0.6,False,0.1122145719999991
0.0,Ba,Tb,O,2.0,4.0,-2.0,1.47,1.61,0.76,1.26,False,0.0917668097500001
0.0,Ce,Al,O,3.0,3.0,-2.0,1.196,1.34,0.535,1.26,False,0.0
0.0,Eu,Nb,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.68,1.26,False,0.0
0.0,K,Mn,F,1.0,2.0,-1.0,1.55,1.64,1.2,1.1899999999999997,False,0.0
1.0,K,Mn,F,1.0,2.0,-1.0,1.55,1.64,1.2,1.19,False,0.0
2.0,K,Mn,F,1.0,2.0,-1.0,1.55,1.64,1.2,1.1899999999999997,False,0.0
0.0,Sr,Sn,O,2.0,4.0,-2.0,1.31,1.44,0.69,1.26,False,0.0036590239999849
1.0,Sr,Sn,O,2.0,4.0,-2.0,1.31,1.44,0.69,1.26,False,0.0053119642857151
0.0,Sr,Tc,O,0.0,0.0,0.0,2.0,2.0,1.35,0.6,False,0.0553152760000017
1.0,Sr,Tc,O,0.0,0.0,0.0,2.0,2.0,1.35,0.6,False,0.0375393964285706
0.0,Ba,Sn,O,2.0,4.0,-2.0,1.47,1.61,0.69,1.26,True,0.0006460229999998
1.0,Ba,Sn,O,2.0,4.0,-2.0,1.47,1.61,0.69,1.26,False,0.0
0.0,Ca,Si,O,2.0,4.0,-2.0,1.18,1.34,0.4,1.26,True,0.2411090466666579
1.0,Ca,Si,O,2.0,4.0,-2.0,1.18,1.34,0.4,1.26,False,0.1888134117857145
0.0,Eu,Fe,O,3.0,3.0,-2.0,1.55,1.55,1.0999999999999999,1.26,True,0.1629300530000001
0.0,La,Co,O,3.0,3.0,-2.0,1.216,1.36,1.05,1.26,True,0.0551452460000003
1.0,La,Co,O,3.0,2.0,-2.0,1.216,1.3599999999999999,1.1500000000000001,1.2600000000000002,False,0.0725557446428535
3.0,La,Co,O,3.0,2.6666666666666665,-2.0,1.216,1.36,1.0833333333333333,1.26,False,0.0907448917647055
0.0,La,Ga,O,3.0,3.0,-2.0,1.216,1.36,0.62,1.26,True,0.0375847591428613
0.0,Sr,Rh,O,2.0,4.0,-2.0,1.31,1.44,0.6,1.26,True,0.0175685137499916
1.0,Sr,Rh,O,2.0,4.0,-2.0,1.31,1.44,0.6,1.26,False,0.0257455875000003
0.0,Cs,Ag,Cl,1.0,2.0,-1.0,1.78,1.88,0.94,1.67,False,0.0
0.0,Cs,Au,Br,0.0,0.0,0.0,2.6,2.6,1.35,1.15,False,0.0
0.0,Cs,Au,Cl,0.0,0.0,0.0,2.6,2.6,1.35,1.0,False,0.0
0.0,Cs,Au,I,0.0,0.0,0.0,2.6,2.6,1.35,1.4,False,0.0
1.0,Ba,Zr,O,2.0,4.0,-2.0,1.47,1.61,0.72,1.26,False,0.0
2.0,Ba,Zr,O,2.0,4.0,-2.0,1.47,1.61,0.72,1.26,True,0.0
0.0,Cs,Ag,F,1.0,2.0,-1.0,1.78,1.88,0.94,1.1899999999999997,False,0.0
1.0,Cs,Ag,F,1.0,2.0,-1.0,1.78,1.88,0.94,1.19,False,0.0214248699999934
0.0,Eu,Ti,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.605,1.26,False,0.0
1.0,Eu,Ti,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.605,1.26,True,0.0
