n,A,B,X,Aox,Box,Cox,Ra,Rb,Rc,exp,EAH
0.0,Ba,Bi,O,0.0,0.0,0.0,2.15,1.6,0.6,True,0.0
0.0,Ba,Ce,O,2.0,4.0,-2.0,1.49,1.01,1.26,True,0.0
0.0,Ba,Fe,O,2.0,4.0,-2.0,1.49,0.9999999999999999,1.26,True,0.0
0.0,Ba,Ir,O,2.0,4.0,-2.0,1.49,0.765,1.26,True,0.0
1.0,Ba,Ir,O,2.0,4.0,-2.0,1.49,0.765,1.26,True,0.01947380196429993
0.0,Ba,Li,F,2.0,1.0,-1.0,1.49,0.9,1.19,True,0.0
0.0,Ba,Mo,O,2.0,4.0,-2.0,1.49,0.79,1.26,True,0.0
0.0,Ba,Nb,O,2.0,4.0,-2.0,1.49,0.82,1.26,True,0.0
0.0,Ba,Np,O,0.0,0.0,0.0,2.15,1.75,0.6,True,0.0
0.0,Ba,Os,O,0.0,0.0,0.0,2.15,1.3,0.6,True,0.0
1.0,Ba,Os,O,0.0,0.0,0.0,2.15,1.3,0.6,False,0.06677261846154359
0.0,Ba,Pa,O,0.0,0.0,0.0,2.15,1.8,0.6,True,0.0
0.0,Ba,Pb,O,2.0,4.0,-2.0,1.49,0.915,1.26,True,0.0
1.0,Ba,Pb,O,2.0,4.0,-2.0,1.49,0.915,1.26,True,0.0
0.0,Ba,Pb,O,0.0,0.0,0.0,2.15,1.8,0.6,True,0.0
1.0,Ba,Pb,O,2.0,4.0,-2.0,1.49,0.915,1.26,True,0.0
0.0,Ba,Pr,O,2.0,4.0,-2.0,1.49,0.99,1.26,True,0.0
0.0,Ba,Pu,O,0.0,0.0,0.0,2.15,1.75,0.6,True,0.0
0.0,Ba,Sn,O,2.0,4.0,-2.0,1.49,0.83,1.26,True,0.0
1.0,Ba,Sn,O,2.0,4.0,-2.0,1.49,0.83,1.26,True,0.0
0.0,Ba,Tb,O,2.0,4.0,-2.0,1.49,0.9,1.26,True,0.0
0.0,Ba,Th,O,2.0,4.0,-2.0,1.49,1.08,1.26,True,0.0
0.0,Ba,Ti,O,2.0,4.0,-2.0,1.49,0.745,1.26,True,0.0
0.0,Ba,V,O,2.0,4.0,-2.0,1.49,0.72,1.26,True,0.0
0.0,Ba,Zr,O,2.0,4.0,-2.0,1.49,0.86,1.26,True,0.0
1.0,Ba,Zr,O,2.0,4.0,-2.0,1.49,0.86,1.26,True,0.0
