,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
H,0.7501803189235099,0.2716975703190919,0.3819483158663034,0.4577801287101112,0.07232447729617253,0.04074038535303415,0.2505763764372959,0.18930805166333375,0.15890470485366814,0.5252678304925575,0.7688720247972788,0.0644006254626528,0.32355843320922706,0.5099347642452924,0.09040821216276074,0.5569138275715192,0.6546121506681783,0.6044079295561733,0.3008332982803541,0.6428407665586249,0.3779127350699516,0.17717473927981753,0.9156280022656045,0.6376503945338763,0.5719889065248094,0.9873302787157485,0.39695735899771745,0.5031786654104933,0.9455665350158577,0.304359491253429,0.7850647259149657,0.8043257453183628,0.9583363574802541,0.6037883561555683,0.9265210857182918,0.9022501946740673,0.7813526628691332,0.9830244213279956,0.9686675276626066,0.5700598616806344,0.2919288633426459,0.4190886613254249,0.26172036028913925,0.515495528315854,0.517700450806779,0.39109476705579327,0.653881303630405,0.012204613542891485,0.52444210058697,0.40669804278194255,0.7102646496755173,0.278607264526202,0.8517760297441278,0.9164020555957397,0.8342119739672683,0.0840429193292428,0.4945427051075818,0.8653359820079813,0.32812515795410235,0.037582474541144495,0.2082017981098725,0.7410506281720296,0.5650786682579484,0.4426123315740119,0.8852732026043482,0.9213312917293117,0.6215279088473015,0.8373275272420271,0.4682559183953645,0.23880250091184996,0.3268874847446155,0.590720375811318,0.7378536160024309,0.6259279718465343,0.43085902899329453,0.8561487007448154,0.4446356367943849,0.969491381950988,0.8337745773252757,0.9104981118043127,0.005822376811350671,0.47224190180015846,0.5335321020681796
He,0.9632612771252982,0.851889796774433,0.9064048522413942,0.011078635388311553,0.7250390971942212,0.20502733440127208,0.4479158933431763,0.5412698444891385,0.31236696793144614,0.9593891246066044,0.6214129273705146,0.14581789438263415,0.07488261496602788,0.11935645695844,0.9998875733514841,0.7655501256416193,0.32180244877602826,0.6889674731123498,0.5162446203562275,0.9193330896861318,0.029869339615471002,0.2680646400630703,0.8462608250739713,0.5947322048551578,0.36857534293204297,0.9276715297686858,0.1503071779871994,0.1645951359657294,0.687756207220212,0.8845448110849857,0.7442596868582285,0.5130420301407984,0.39921054641281273,0.7913737377763641,0.7251051748754153,0.9966676387784454,0.536906294015442,0.6701447557119682,0.9659585838038494,0.35467569416582945,0.7034838370018079,0.6143653714944286,0.9523142643290011,0.3881158088463602,0.18393932822254255,0.641085895839221,0.6060832260962705,0.42067373568227784,0.7817366082712173,0.04665020972054146,0.965858865069836,0.7653350917853204,0.15617639484543977,0.6918795172535088,0.6881805137645539,0.0462518271639184,0.7667882800559686,0.5144125329834213,0.03591006698494492,0.7585620411701177,0.10658530348072881,0.08742802369680114,0.3937649529993257,0.13863361809126795,0.8528230261469066,0.5228188072620261,0.3914680083912412,0.6216027330672027,0.9706607559429388,0.7741044607219475,0.8466588738614436,0.2967664467275707,0.12311567492756548,0.47337385104915575,0.40207828506967846,0.026843466300565444,0.4010090905272867,0.5400659054167549,0.6977376941578729,0.7000779798752574,0.3408221959719877,0.8401486115582164,0.8481946541565932
Li,0.17104073499038452,0.1688918532771213,0.3480010852681139,0.6604188440551403,0.6591405463436815,0.35733698830144434,0.8904920305649298,0.12902219351304223,0.07969937918032965,0.9676894702299299,0.8473989921050175,0.6994027347730883,0.894967779246129,0.19369047859736088,0.8194591148732809,0.13201540835026537,0.8370384981957096,0.18100752685576338,0.17349279647271454,0.14273976505903097,0.9160870968262418,0.06924521023625385,0.6592617309264585,0.1783832052856179,0.28012913256402094,0.12957834356060116,0.8320965436560334,0.6370104061094394,0.98387910604282,0.9457089058093529,0.9327699360641716,0.47252863165390624,0.42528004973919453,0.12970580860002623,0.959568473083266,0.08526582787983539,0.5878536617372269,0.31007741789594645,0.44173729360015956,0.5928083540166637,0.3190453183862423,0.19705181515666803,0.14118052590769703,0.9446956706451358,0.2334009439834952,0.7456992539038075,0.23252251793745127,0.5923033429633783,0.36391928044290367,0.2962876273460672,0.5313570318055201,0.8860241452408911,0.20211560259149863,0.12730893400640964,0.9374844173537298,0.049477004267992175,0.5899396611554849,0.7891969981039141,0.14034990218771692,0.10329341622511656,0.14376808600433144,0.6187730601003267,0.318129887474624,0.4764912414289558,0.10573276451015579,0.15052864081226747,0.06693821781283726,0.3607264357251512,0.1888853568259511,0.5853895113598719,0.2119732055296082,0.9193848849617691,0.6589932611043211,0.4085934058361277,0.2510766355455122,0.35434923480446445,0.8930751966210666,0.6335434563935018,0.8962197059297164,0.909466213964778,0.29290164819693676,0.5077106865919909,0.5480028270360189
Be,0.9480556205797237,0.17295415023881078,0.7636131190084287,0.9214497324803013,0.015022330960333563,0.830596420427231,0.6259057635082023,0.8215689796415602,0.6542123269575313,0.07490126340832848,0.5144452753839537,0.1314991033511691,0.9388057904045113,0.3684007958714056,0.6972020263522295,0.9244224951495975,0.3009379765008039,0.9069194058869471,0.17339785898627214,0.12462974901527446,0.1040448273539919,0.23097399839709054,0.41277442827792055,0.3076017821383461,0.6315507072983131,0.8850841972771978,0.09493615224547602,0.0708330597135397,0.18048263765754446,0.6039370230017366,0.10871865105904177,0.583435197974454,0.3260358863874713,0.5371707559785075,0.37091165355302147,0.9081891385781498,0.4060345631833574,0.6274970600682419,0.20422867833338243,0.10059289720221076,0.6042304992215758,0.668688022232728,0.4460126664376649,0.7882429572881036,0.7921865900256013,0.6288047166634,0.42040142653154655,0.23947743600071392,0.9074512268845195,0.4747319027360374,0.14513820472834937,0.27577556917039925,0.9851296761916662,0.4703742409219527,0.09012889196299667,0.5432405675507223,0.08726815351587014,0.8588838797472981,0.6012027760354938,0.966695480770062,0.9888552380311207,0.7626779956364074,0.802777309259038,0.3597670072479203,0.3350407321417467,0.9648214336871489,0.704612538545106,0.6512690980630546,0.7731624862022953,0.9568265823675948,0.6011998985237569,0.36328488948245374,0.124254982408877,0.9619296234390625,0.19670524951074098,0.34111442738881503,0.8860186455234192,0.4735167659989489,0.23981474991565965,0.06816858399331283,0.35962748324681637,0.05287394380975485,0.0709447718076267
B,0.6045933121657112,0.31445233864204525,0.255884204092268,0.07976700308471985,0.19091598365989493,0.6359935678589546,0.5657738637404338,0.5355549681074332,0.5284538392085358,0.4016153280498497,0.5823251894976267,0.8887122340981005,0.021413856598471503,0.39405456313867093,0.6361461814634561,0.8088382118338269,0.10998764244824821,0.5752256522073218,0.9596064480684567,0.8306253179689894,0.24804620202858996,0.29425218242920725,0.44945745471899,0.8871920314243009,0.979866090756596,0.08167576975835011,0.6152231995526296,0.018088094682093936,0.4784527829546984,0.9325453987291831,0.11210534419740503,0.8671819701633426,0.5105418424314215,0.994172070504619,0.06991462066479448,0.8516747078677012,0.030024189761275077,0.12893049635001974,0.08042568326248822,0.07663628967720981,0.40761476253777684,0.4513952870470872,0.49404434113339746,0.3423001789883937,0.705284339026302,0.06712205381225411,0.036860572723583784,0.9716567669880191,0.9634376545350536,0.21500541608184187,0.7123500046078532,0.7600548365505987,0.22586763485651662,0.03919210342097135,0.8105406569749616,0.5571756098095123,0.2970471446719892,0.26949534839051037,0.37417948673084067,0.4333050097153731,0.910393093364345,0.8312381882759016,0.8336426099535239,0.02193906364025966,0.22005908811141428,0.2833624203368349,0.3021897692183717,0.5781635699470522,0.27173306852497014,0.797754819792232,0.7347991114850311,0.8488101838141568,0.03031552622382694,0.9911653586601408,0.5336634544437325,0.4725036475244455,0.0483040326594254,0.6326434023686037,0.5531975540700331,0.6214810762661264,0.2467877233832937,0.25206080147437426,0.6145324909054012
C,0.31383280024065485,0.4003706623070662,0.28453140232236696,0.4245554376896301,0.8634607527255935,0.5104595112632215,0.20024827072349227,0.3866744000213014,0.3355563725284215,0.8686823002862818,0.5915958729405228,0.5892220432130333,0.7193107795996035,0.007683971596222916,0.8836969482406437,0.6688978708191695,0.7969706498324111,0.3542169088124789,0.8280187592236885,0.09741729591673032,0.03550303467081095,0.3815550703654771,0.0370653424689984,0.14751626752441638,0.6078925478799179,0.3564316066413047,0.3142924407451354,0.44111536376407035,0.5784401258273826,0.1210284842132453,0.8298070897511485,0.6983201353205581,0.23040625368945034,0.12305991453701048,0.6589057376900993,0.04466374292256825,0.7958654557024667,0.5594393127248182,0.8691364180757605,0.5187136477312851,0.533921662195322,0.36122399390879745,0.7700601180589538,0.8461094368109866,0.24415929570242367,0.9415433426629913,0.6232204206486872,0.1926621578289982,0.4078337749996207,0.7698667841087391,0.4502580754971608,0.6194740891607763,0.5313573305109546,0.49821301513931404,0.30486693959807587,0.1978493152992763,0.3141183651555034,0.11017537380180675,0.3200632560354417,0.5439187856639747,0.32068206220188433,0.13320628752443175,0.7706420226713845,0.30341602262110856,0.5072831222078967,0.6614877653692779,0.8464635139072793,0.5958638461652065,0.7051299021995734,0.35900490613030844,0.9251258497971394,0.23685376185797347,0.8676399737724557,0.0885692218339671,0.2997459402043756,0.038543074666547494,0.9838958857067698,0.520581064669629,0.20475974716416212,0.2445721343735202,0.11081912620681267,0.4369421455777124,0.743607580759835
N,0.3339887396047998,0.5634475635323664,0.7862393411234438,0.2248241320090253,0.5982963228162825,0.4659521324392476,0.18509295725416453,0.24461139475689642,0.2802958655145007,0.4117553430051184,0.9858402630760436,0.9789479568996037,0.6064056903227827,0.5698665664139757,0.72367735311385,0.6010104464750634,0.6403386812169416,0.9244309703072463,0.9637770250039568,0.17734078895994154,0.6185795152744015,0.5657846451307068,0.2772992755546202,0.9460014918961692,0.4685728573220107,0.290606581422841,0.5654712174401578,0.7402735994054432,0.3954396833173175,0.13228106770738035,0.5150153635362812,0.8920736839263688,0.5353545539063567,0.07192144768467956,0.9706601293278176,0.09493756256547237,0.36113932205604327,0.849438398615797,0.8463855311936247,0.21287396282951387,0.7997930626830633,0.3885522486346461,0.14724525815873857,0.7166771913356051,0.13831984026005917,0.9139425260256545,0.5224975513735961,0.6474023931187581,0.3882362294843227,0.47623813549638827,0.4313914344989963,0.24553080928415993,0.63857070155569,0.2549486268230894,0.5938652951051879,0.6301095322958956,0.5483413735390823,0.027081793547563793,0.051357915903228024,0.9690760990350337,0.35488783813311997,0.733754164196968,0.5704997037408445,0.3221407313852366,0.9259789602556239,0.7160241925364939,0.6065487964637467,0.274046979065544,0.6337655453810498,0.7159922995506748,0.24649701384793832,0.13092175450125476,0.7736798406128539,0.6857887301701439,0.9241626398997342,0.22736506937862122,0.006221711839497823,0.351993719538088,0.7190550389929269,0.10445335293661784,0.9408191820874835,0.7884563416644939,0.7186816386936856
O,0.4302936147016152,0.6358564981570991,0.3357872029179112,0.5968413726888837,0.9615825857718078,0.9248617082304872,0.6282995127911567,0.8025024288271287,0.4785322793080109,0.16624982045214443,0.421446647440443,0.9114908049695017,0.7466706955743975,0.6709979979959427,0.9830044389223651,0.38655271752250664,0.7287423426432577,0.9699850583580811,0.41612033857819,0.8530061026802362,0.6512249127119519,0.8046705395767246,0.1518698717377207,0.6064961501737444,0.21312833607424808,0.8328859913583341,0.8282579027877474,0.21444902273716004,0.5974535221439454,0.8744515419941626,0.8802415205423695,0.6584299153732117,0.2526343817496427,0.8333193195997683,0.3845145410142734,0.32189526053689776,0.7666625483109883,0.4667254752150434,0.9125136608560814,0.5285769063185497,0.4928053354225592,0.9400356662558458,0.6978547965843339,0.1321149755725709,0.8448467821154487,0.375365145680558,0.985497368481496,0.6052604753906232,0.996061446600816,0.2575555959475728,0.4958066881750015,0.8859205978001664,0.7804989520655488,0.9640769080637783,0.09809294275288649,0.5048289116883509,0.3572506783040994,0.37907383396129035,0.5245305266681011,0.2190874996382174,0.1881962953473656,0.23120913358538586,0.352936589422971,0.6677006196949532,0.08409226911916912,0.39698698441789604,0.7593359401242474,0.37881570710163115,0.48721994078041,0.9984995456161732,0.40488672648107715,0.41818664977279996,0.9786958113514179,0.8092501032555488,0.8030435059682828,0.16368041125156474,0.34634051644048647,0.7599204301973495,0.2408073186149834,0.8951118734220057,0.20210586277841924,0.2493313763095959,0.10298047135371668
F,0.22811251062438087,0.6596276244369671,0.3931014970719936,0.7555410571530008,0.006001759027525422,0.8972426303287117,0.8692475317476649,0.6451682024366339,0.23162465302676405,0.44039931658663833,0.7996172858820672,0.8091168718814872,0.6161807810430623,0.45836559685756806,0.7450432176968098,0.8492756272298833,0.6945208090582403,0.16003454761495117,0.21374832733413063,0.18074470674233356,0.963786890536115,0.20613793720321683,0.7578713524100554,0.9117759408842062,0.42762269374057715,0.18421665824968148,0.7595811847488909,0.4871315708723599,0.9062423007735929,0.5064992624028128,0.6142666866071254,0.9901607390199129,0.513420137332119,0.49810325406811307,0.15057733633659554,0.9555385505303416,0.13911159927373162,0.8578966221463558,0.4798773313876217,0.0737182577813692,0.9485920189902536,0.35032055493649994,0.12794388988591043,0.39455987651813973,0.11936779639265438,0.2630676213242207,0.6801976765021392,0.1077046922101158,0.12978773409891897,0.7713000880144886,0.32977320708173163,0.9335959494299912,0.6730985144424003,0.3949311973220708,0.25144731458430625,0.35291549152818247,0.24512206901585776,0.12604237083151548,0.07675960619261446,0.21078371620658565,0.6160161413832659,0.7950353037873003,0.07418579066097608,0.3101751854957371,0.8453570962791689,0.8767226116853158,0.11022311009892671,0.7221378471513659,0.7152261460165859,0.9533947840727781,0.3278767104102528,0.5283267999766105,0.18941525574985996,0.8955730217672666,0.7519289428746012,0.9378266721600668,0.9002396398926109,0.06209044350944615,0.11540229276584668,0.10379103454189276,0.2785523991356057,0.4600276448467021,0.2317239455434723
Ne,0.0412256490967684,0.0800577985476787,0.06320593197553093,0.9503276535935716,0.7218395552011239,0.7189104676555106,0.9994271323633911,0.969447428204297,0.37367949429647784,0.6829454350306141,0.1792870838505385,0.46621974549424694,0.7985441711001583,0.20383010147842562,0.6280410310711168,0.11512201314514336,0.16308935289676474,0.856480136508895,0.601519888923703,0.16378265006913473,0.8211993557112884,0.4364611310913603,0.17434170006576777,0.9221736818157785,0.6674175998917178,0.7681878536798328,0.16404183501108371,0.597557406265394,0.43510167886288764,0.7623215972971618,0.8561728239233112,0.5231790434812755,0.035640370592449844,0.7112262160502019,0.5154580142721511,0.5252201190355917,0.7266023246493496,0.5027142980241602,0.3377629678876698,0.5114672257336599,0.5059196859591976,0.44610658465001973,0.01125494505879121,0.1517790787125025,0.3319978375811844,0.5906067476333379,0.06271153504958082,0.6238718679698053,0.9806831089555124,0.450110131073723,0.3883821125426742,0.42376672470816534,0.8957160526135163,0.29988481422973245,0.7734856289387289,0.3885334027626415,0.3888366463292995,0.9312345550758424,0.8372668003706146,0.9982208666907735,0.14169142972872306,0.5414374762180725,0.8983928910648262,0.7709358142606265,0.5635584175929622,0.8077810050468329,0.8162972789165397,0.30494375738936985,0.47604607963110934,0.341516426313643,0.9296346897109602,0.7425842180077884,0.3816274403781339,0.9895285143399571,0.29630585173220514,0.6843484640198919,0.015342790019948982,0.5424980936752977,0.7210313544195975,0.3151909904588257,0.07408991082083272,0.48353197147974947,0.3456786164191391
